id,question,correctoption,mcqcognitivelevel,option_a,option_b,option_c,option_d,option_e,option_f,rationale
48,¿Cuáles son las tres propiedades que la ciberseguridad busca proteger?,A,Baja,"Confidencialidad, integridad y disponibilidad","Velocidad, ahorro y comodidad","Producción, ventas y logística","Hardware, software y redes sociales",,,"La tríada CIA (confidencialidad, integridad, disponibilidad) es la base de toda política de seguridad de la información."
49,¿Cuál es el impacto más grave de un ciberataque exitoso a los sistemas de control de una planta concentradora?,B,Media,La pérdida de algunos correos,Riesgo para la seguridad física de las personas y parada de la operación,Un retraso en la nómina,Mayor consumo de internet,,,"En entornos industriales, un ataque a los sistemas de control puede provocar accidentes y detener la producción, no solo perder datos."
50,"Un compañero dice: ""de la ciberseguridad se encarga TI, yo solo opero la mina"". ¿Qué respuesta es correcta?",B,Baja,"Tiene razón, es un tema exclusivamente técnico",Cada colaborador es responsable de proteger la información y los sistemas que usa,Solo la gerencia es responsable,Solo aplica al personal administrativo,,,La mayoría de incidentes empieza por una acción humana; la responsabilidad es de todos.
51,¿Cuál de estos es un activo de información que debe protegerse especialmente?,B,Baja,El menú del comedor,El modelo geológico del yacimiento,El horario de los buses,El calendario de feriados,,,El modelo geológico es información estratégica cuya filtración afecta el valor de la empresa.
52,Abriste un adjunto sospechoso y ahora dudas. ¿Qué debes hacer?,B,Media,Apagar el equipo y no decir nada,Reportarlo de inmediato al canal de incidentes de seguridad,Esperar a ver si pasa algo,Reenviarlo a un compañero para que opine,,,El reporte inmediato permite contener el incidente; el silencio da tiempo al atacante.
53,¿Cuál de estas contraseñas es la más segura?,C,Baja,Minsur2024,diego1985,Cerro-Lluvia-Tambor-47!,123456789,,,Una frase larga con palabras no relacionadas y símbolos resiste ataques de fuerza bruta y diccionario.
54,Recibes una notificación de MFA que no solicitaste. ¿Qué haces?,B,Media,"La apruebo, seguro es el sistema",La rechazo y reporto: alguien tiene mi contraseña,La ignoro y sigo trabajando,Apruebo solo si insiste varias veces,,,Una solicitud de MFA no iniciada por ti indica que un tercero conoce tu contraseña; hay que rechazar y reportar.
55,"Un supervisor te pide tu usuario y contraseña ""para avanzar un reporte urgente"". ¿Qué corresponde?",B,Media,"Dárselos, es mi jefe",Negarme con respeto y ofrecer hacer el reporte yo mismo o gestionar un acceso propio,Dárselos solo por WhatsApp,Dárselos si promete cambiarlos después,,,Ninguna jerarquía justifica compartir credenciales; existen vías formales para otorgar accesos.
56,Cambias de puesto y conservas accesos del rol anterior. ¿Qué debes hacer?,B,Media,Conservarlos por si acaso,Solicitar que se retiren los accesos que ya no necesitas,Prestarlos a quien ocupe el puesto,"Nada, expiran solos",,,El mínimo privilegio reduce el daño si tu cuenta se ve comprometida.
57,¿Cuál es la práctica recomendada para manejar decenas de contraseñas distintas?,C,Baja,Usar la misma en todos los servicios,Anotarlas en un cuaderno en el escritorio,Usar el gestor de contraseñas aprobado por la empresa,Guardarlas en un correo a mí mismo,,,El gestor cifra las claves y permite una contraseña distinta por servicio sin memorizarlas.
