id,componenttype,contentrole,content,componentsectionid,questionid,ordering,assetid
368,heading,Heading,1.1 Qué protege la ciberseguridad,7,,1,
369,paragraph,,"La ciberseguridad protege la confidencialidad, integridad y disponibilidad de la información y de los sistemas que sostienen la operación: desde el correo corporativo hasta los controles de planta.",7,,2,
370,mcq,,,7,48,3,
371,heading,Heading,1.2 Por qué la minería es un objetivo,7,,4,
372,paragraph,,"Las operaciones mineras dependen de sistemas de control, logística y datos geológicos de alto valor. Un ataque puede detener la producción, poner en riesgo a personas y afectar a las comunidades.",7,,5,
373,mcq,,,7,49,6,
374,heading,Heading,1.3 Responsabilidad compartida,7,,7,
375,paragraph,,La seguridad no es solo tarea del área de TI. Cada colaborador es una línea de defensa: sus decisiones diarias abren o cierran puertas a los atacantes.,7,,8,
376,mcq,,,7,50,9,
377,heading,Heading,1.4 Activos de información,7,,10,
378,paragraph,,"Planos, modelos geológicos, contratos, datos de personal y credenciales son activos de información. Se clasifican según su sensibilidad y se manejan de acuerdo con ella.",7,,11,
379,mcq,,,7,51,12,
380,heading,Heading,1.5 Reportar es proteger,7,,13,
381,paragraph,,Un incidente reportado a tiempo se contiene en minutos; uno oculto puede crecer durante semanas. Reportar nunca es motivo de sanción.,7,,14,
382,mcq,,,7,52,15,
383,heading,Heading,2.1 Contraseñas robustas,8,,1,
384,paragraph,,"Una contraseña robusta es larga (12 o más caracteres), única por servicio y no contiene datos personales. Las frases de paso son fáciles de recordar y difíciles de adivinar.",8,,2,
385,mcq,,,8,53,3,
386,heading,Heading,2.2 Autenticación multifactor (MFA),8,,4,
387,paragraph,,"La MFA añade un segundo factor (app, token o biometría) además de la contraseña. Aunque roben tu clave, no podrán entrar sin el segundo factor.",8,,5,
388,mcq,,,8,54,6,
389,heading,Heading,2.3 No compartir credenciales,8,,7,
390,paragraph,,Las credenciales son personales e intransferibles. Compartirlas rompe la trazabilidad: lo que haga otro con tu usuario queda registrado a tu nombre.,8,,8,
391,mcq,,,8,55,9,
392,heading,Heading,2.4 Principio de mínimo privilegio,8,,10,
393,paragraph,,Cada persona debe tener solo los accesos que necesita para su función. Los accesos sobrantes son puertas abiertas que nadie vigila.,8,,11,
394,mcq,,,8,56,12,
395,heading,Heading,2.5 Gestores de contraseñas,8,,13,
396,paragraph,,Un gestor de contraseñas corporativo genera y guarda claves únicas y complejas. Es más seguro que reutilizar una clave o anotarla en un papel.,8,,14,
397,mcq,,,8,57,15,
398,heading,Heading,3.1 Señales de un correo de phishing,9,,1,
399,paragraph,,"Urgencia artificial, remitentes parecidos pero no iguales, enlaces que no coinciden con el texto y adjuntos inesperados son las señales clásicas.",9,,2,
400,mcq,,,9,58,3,
401,heading,Heading,3.2 Verificar por otro canal,9,,4,
402,paragraph,,"Ante una solicitud inusual (transferencias, datos, accesos), verifica llamando al número conocido de la persona, nunca respondiendo al mismo mensaje.",9,,5,
403,mcq,,,9,59,6,
404,heading,Heading,3.3 Smishing y vishing,9,,7,
405,paragraph,,El phishing también llega por SMS (smishing) y llamadas (vishing). Nadie legítimo te pedirá códigos de verificación por teléfono.,9,,8,
406,mcq,,,9,60,9,
407,heading,Heading,3.4 Enlaces y adjuntos,9,,10,
408,paragraph,,Pasa el cursor sobre el enlace para ver el destino real. Los adjuntos con macros o extensiones dobles (factura.pdf.exe) son peligrosos.,9,,11,
409,mcq,,,9,61,12,
410,heading,Heading,3.5 Redes sociales e información pública,9,,13,
411,paragraph,,"Los atacantes estudian perfiles públicos para personalizar sus engaños. Publicar cargos, proyectos o fotos de instalaciones les facilita el trabajo.",9,,14,
412,mcq,,,9,62,15,
413,heading,Heading,4.1 Bloqueo y actualizaciones,10,,1,
414,paragraph,,Bloquea el equipo al alejarte (Win+L) y mantén el sistema actualizado. Las actualizaciones cierran vulnerabilidades que los atacantes ya conocen.,10,,2,
415,mcq,,,10,63,3,
416,heading,Heading,4.2 USB y medios extraíbles,10,,4,
417,paragraph,,"Un USB desconocido puede contener malware que se ejecuta al conectarlo. En entornos industriales, los USB son una vía habitual de infección.",10,,5,
418,mcq,,,10,64,6,
419,heading,Heading,4.3 Clasificación y envío de información,10,,7,
420,paragraph,,La información confidencial se comparte solo por los canales aprobados y con las personas autorizadas. El correo personal y las apps de mensajería no son canales corporativos.,10,,8,
421,mcq,,,10,65,9,
422,heading,Heading,4.4 Trabajo remoto y redes públicas,10,,10,
423,paragraph,,"Fuera de la oficina, usa la VPN corporativa y evita redes wifi públicas para tareas sensibles. Un atacante en la misma red puede interceptar el tráfico.",10,,11,
424,mcq,,,10,66,12,
425,heading,Heading,4.5 Dispositivos personales (BYOD),10,,13,
426,paragraph,,"Si usas tu teléfono para el correo corporativo, debe cumplir la política: bloqueo, cifrado y posibilidad de borrado remoto en caso de pérdida.",10,,14,
427,mcq,,,10,67,15,
428,heading,Heading,5.1 TI y OT no son lo mismo,11,,1,
429,paragraph,,"Los sistemas OT (PLC, SCADA, sensores) controlan procesos físicos. Un cambio no autorizado puede dañar equipos o poner en riesgo vidas; por eso se aíslan de la red corporativa.",11,,2,
430,mcq,,,11,68,3,
431,heading,Heading,5.2 Acceso de contratistas a sistemas de planta,11,,4,
432,paragraph,,"Los proveedores acceden a los sistemas OT solo con autorización, por conexiones supervisadas y durante el tiempo acordado.",11,,5,
433,mcq,,,11,69,6,
434,heading,Heading,5.3 Señales de un incidente,11,,7,
435,paragraph,,"Equipos lentos, ventanas emergentes, archivos con extensiones extrañas, sensores con lecturas imposibles o cuentas bloqueadas sin razón pueden indicar un ataque.",11,,8,
436,mcq,,,11,70,9,
437,heading,Heading,5.4 Qué NO hacer durante un incidente,11,,10,
438,paragraph,,"No apagues el equipo (se pierden evidencias), no intentes ""limpiarlo"" por tu cuenta y no comentes el incidente por canales no autorizados.",11,,11,
439,mcq,,,11,71,12,
440,heading,Heading,5.5 Continuidad y aprendizaje,11,,13,
441,paragraph,,Después de un incidente se analizan causas y se ajustan controles. Las lecciones aprendidas se comparten para que no se repita.,11,,14,
442,mcq,,,11,72,15,
443,heading,Heading,7.1 Consulta y participación de comunidades,12,,1,
444,paragraph,,"Las comunidades vecinas tienen derecho a ser informadas y a participar en las decisiones que las afectan. La consulta es un proceso continuo, no un trámite.",12,,2,
445,mcq,,,12,73,3,
446,heading,Heading,7.2 Uso del agua,12,,4,
447,paragraph,,El derecho humano al agua obliga a gestionar el recurso sin afectar el acceso de las comunidades ni la calidad de sus fuentes.,12,,5,
448,mcq,,,12,74,6,
449,heading,Heading,7.3 Contratistas y condiciones laborales,12,,7,
450,paragraph,,"La empresa es responsable de que sus contratistas respeten los derechos laborales: jornada, salario, seguridad y libertad sindical.",12,,8,
451,mcq,,,12,75,9,
452,heading,Heading,7.4 Trabajo infantil y forzoso,12,,10,
453,paragraph,,"La prohibición del trabajo infantil y del trabajo forzoso es absoluta, también en proveedores y contratistas.",12,,11,
454,mcq,,,12,76,12,
455,heading,Heading,7.5 Seguridad privada y uso de la fuerza,12,,13,
456,paragraph,,El personal de seguridad debe actuar conforme a los Principios Voluntarios: uso de la fuerza proporcional y solo cuando sea estrictamente necesario.,12,,14,
457,mcq,,,12,77,15,
458,heading,Heading,7.6 Discriminación y acoso,12,,16,
459,paragraph,,"Toda persona tiene derecho a un ambiente laboral libre de discriminación y acoso, sin importar género, origen, religión u orientación.",12,,17,
460,mcq,,,12,78,18,
461,heading,Heading,7.7 Pueblos indígenas,12,,19,
462,paragraph,,"Los pueblos indígenas tienen derechos colectivos sobre sus tierras, cultura y decisiones. El consentimiento libre, previo e informado orienta la relación.",12,,20,
463,mcq,,,12,79,21,
464,heading,Heading,7.8 Reasentamiento,12,,22,
465,paragraph,,"Cuando una operación requiere reasentar familias, debe restituir o mejorar sus condiciones de vida, con participación y compensación justa.",12,,23,
466,mcq,,,12,80,24,
467,heading,Heading,7.9 Defensores de derechos humanos,12,,25,
468,paragraph,,Las personas que defienden derechos humanos y el ambiente no deben ser intimidadas ni estigmatizadas por la empresa ni por terceros vinculados.,12,,26,
469,mcq,,,12,81,27,
470,heading,Heading,7.10 Privacidad de datos del personal,12,,28,
471,paragraph,,"Los datos personales de colaboradores (salud, biometría, ubicación) se recogen solo con fines legítimos y se protegen contra usos indebidos.",12,,29,
472,mcq,,,12,82,30,
473,heading,Heading,7.11 Mecanismos de reclamación accesibles,12,,31,
474,paragraph,,"Un mecanismo de reclamación eficaz es conocido, accesible, predecible y equitativo; también para quien no sabe leer o no habla castellano.",12,,32,
475,mcq,,,12,83,33,
476,heading,Heading,7.12 Remediación,12,,34,
477,paragraph,,"Cuando la empresa causa o contribuye a un impacto, debe repararlo: disculpa, restitución, compensación o garantías de no repetición.",12,,35,
478,mcq,,,12,84,36,
479,heading,Heading,7.13 Salud y seguridad como derecho,12,,37,
480,paragraph,,El derecho a la vida y a la integridad se concreta en condiciones seguras de trabajo. Detener una tarea insegura es un derecho y un deber.,12,,38,
481,mcq,,,12,85,39,
482,heading,Heading,7.14 Igualdad de género,12,,40,
483,paragraph,,"La igualdad de oportunidades incluye acceso a puestos, salario equitativo, instalaciones adecuadas y protección frente al acoso.",12,,41,
484,mcq,,,12,86,42,
485,heading,Heading,7.15 Rendición de cuentas,12,,43,
486,paragraph,,La empresa informa públicamente cómo identifica y gestiona sus impactos en DDHH. La transparencia permite la confianza y la mejora.,12,,44,
487,mcq,,,12,87,45,
